property_id,x_km,y_km,value_k,distance_to_center_km
1,65.22992627009107,63.30999717427955,495.10253398258385,20.22638571202823
2,4.377532363899661,49.38162710396388,372.818189636771,45.62665819721597
3,2.0029586874216854,72.98094636515152,363.88893487991083,53.21503425348255
4,83.921258251103,0.31501527653385875,334.00270534093056,60.160198373252456
5,58.714304758805845,85.42006027165738,269.42911664164745,36.476290615647684
6,22.470523020362442,72.08229884038239,572.1779110572435,35.29164242208554
7,75.17922718186155,53.983811831119176,345.9531623236805,25.492434920610478
8,26.36921974783747,68.156099260013,523.1393030477416,29.800297241226286
9,41.997790971626806,59.3536495836544,740.4336928666751,12.309594220264762
10,45.10313870011089,44.58422741754823,609.8398928040996,7.301359000568867
11,95.53145792212376,49.880478509468965,369.2913108364555,45.531614795665064
12,89.19016691830427,0.6431502092184904,379.38953974595296,63.023549601353935
13,27.863302551894353,65.52539535702176,507.42337050183244,27.03832973578065
14,27.853429777937567,98.31045679093293,369.61305159577955,53.144809793142926
15,42.19995748472628,43.51869431016431,522.5577443770004,10.141399641330286
16,0.40777249859886844,12.68326116842361,341.491909644778,62.06390275816377
17,30.89237677451262,63.69515708823508,580.1064006039263,23.508691860642102
18,95.17540164636145,44.288879787820804,331.67375078940705,45.53497345983676
19,83.82047782684793,16.51684549307336,418.38604751211756,47.59145255369954
20,53.512825709760406,46.99916457427493,686.2626112324573,4.620060358852498
21,48.54885459574876,14.560828141432259,421.9620724096341,35.46886980163562
22,94.51266801507884,81.93769398777734,344.9657575693469,54.78497888178412
23,59.31741874641639,48.345892527877176,461.77150634814615,9.463105390166806
24,94.28679185687103,75.27472109901157,484.4353054650526,50.99148418713305
25,99.78817442741205,11.915215242051502,450.5115653088352,62.684233606814345
26,3.3764654315696196,8.410530653987314,250.27899629907563,62.47749943889041
27,11.856060209234688,84.94758748498103,491.8188502552979,51.7329103548402
28,76.11988379768471,43.500025764853554,289.97300472561534,26.91650041632678
29,12.613746899330602,77.54906172159565,419.4446587614092,46.44009821961619
30,34.184285511856494,9.885679532891857,378.9364552531401,43.119549293891325
31,30.001928979647197,23.67857476476598,423.4188631825018,33.0566221950926
32,55.1045090589723,91.04750897570273,334.22488210167467,41.36367979089295
33,5.061976229843679,11.627354551202751,304.80595328527534,59.09218137034912
34,45.09703793275376,53.76405586500772,612.7690985323087,6.181193540713198
35,55.54165621613222,27.767221961706777,268.5092360152849,22.913017542825088
36,11.917052432185871,30.094021822748584,379.4212076418815,42.97160530683128
37,34.14250860224383,4.977033039246381,425.6671777754168,47.73392491068615
38,50.45517491531475,68.01974891903996,529.2408694223203,18.02549681170462
39,30.39651105723884,4.819146124373264,467.33849288720035,49.25044503006744
40,41.783633515312815,33.58326219045369,427.1811668204386,18.35804887557712
41,41.456100164611286,53.48903733484263,574.2409325599654,9.228846402507793
42,9.331384215685468,97.25491682917016,505.53862682304396,62.345516874463286
43,58.799640058931814,85.22842584527022,320.0738079976859,36.310820049985935
44,7.405586157239141,48.672028247254104,289.5830782732918,42.61510999146275
45,58.05194318922804,81.39231775031006,368.3879209318774,32.40850818626164
46,8.287151595719722,34.80746003089603,363.8899141134155,44.39341159126306
47,53.912381765531215,3.3352654164060636,419.92413106912466,46.8284548627918
48,85.07689829291569,20.696305873962974,375.58326413413795,45.70662187565264
49,28.879626031162474,5.658572866104839,339.34068346395225,49.114482149912604
50,8.274485668843223,32.1941632795159,393.4173287572282,45.3659163636767
51,32.04800922364666,53.219175120398674,478.63738183708244,18.23834042039103
52,42.44991934873933,34.44438381281978,372.87321334327083,17.291064536442054
53,61.2165606729797,52.72372843070895,415.7826690003105,11.542527015124858
54,15.153183039967944,50.72961224695691,411.9656275211261,34.85445432476153
55,0.39613637236188826,26.12092200188809,229.13452128017317,55.05228108652021
56,84.30823134268059,85.23760184646963,414.3694357823672,49.18072103734563
57,45.508931795499585,40.9088939566979,476.42231187488875,10.139916306757097
58,57.36306088212123,20.36940795903287,352.0356815387716,30.531731858053
59,80.13281630564518,55.688981098479715,406.3039566594665,30.665145107248645
60,76.32470379251717,58.84067053637948,337.0937141706319,27.76954240344223
61,86.19340651499014,60.049750200072694,361.47773888235855,37.56274955648471
62,32.19510366706818,72.09590770289056,595.4351281531475,28.376812200124014
63,19.379455343934595,41.83802473921857,435.6191697634573,31.689676476602028
64,1.2703582214631526,17.875997323421387,462.26887703336524,58.36548240038245
65,39.60570512056135,93.22679630575391,322.2944250408001,44.4589393137068
66,60.65051385540762,64.81929751657918,447.86933690053775,18.249521206571956
67,56.65176312346063,13.127317902257962,453.71494801381743,37.46786139789375
68,87.88162192331397,20.368319163599057,335.792997634051,48.09421783053793
69,82.77783230641911,40.638222758068075,407.735901119378,34.0885488666691
70,49.65352894957951,60.45611896366334,548.3184618417113,10.461857673045436
71,12.269102832557877,98.7587603342948,425.6469085776304,61.65255315392293
72,50.0576601815097,23.945353248570754,400.4528199924904,26.054710553723183
73,91.94860890996821,70.9418830854492,392.9658140211711,46.88548023264866
74,88.08558110790476,92.97327114528407,266.6806851514301,57.421368159012864
75,67.40755933063971,38.510703305645876,404.2536044636779,20.857302327497635
76,65.89057397700321,70.66509295591568,466.69461511413203,26.06830274864951
77,82.90321187789993,15.876359415072926,438.64361292934376,47.402997781271786
78,68.70384106747758,41.90615804192057,329.9230398594803,20.379988918540366
79,62.41928509932543,29.549734483622526,339.20194573264826,23.925969198104895
80,40.17615900760681,37.7113959356003,515.6407454501979,15.732693402447198
81,39.95067625640725,28.68530674354468,487.5104542012193,23.564911549172404
82,48.634353792217446,77.9957811529015,404.9963173483487,28.029069765619866
83,88.17298989466322,56.368970626635274,346.2082734900622,38.70065819002311
84,64.15268388187773,79.7269855540138,450.37809397740915,32.92403576703358
85,82.54649403853934,36.883519126351025,350.52712726482036,35.090117479277204
86,50.26808980590268,33.109325452080185,413.14406070988025,16.892801982731438
87,53.64654329128539,32.49025036675538,432.207012742414,17.88543010928528
88,69.87929554986864,24.420013618882464,337.60779913767135,32.39632841568911
89,69.45762780931456,70.55246061909509,401.6924862367661,28.301994937906155
90,21.947345708116618,88.53927559533575,487.41673835529457,47.66788411743451
91,92.69347359169883,18.037445098909586,384.4409910095993,53.33233168660737
92,22.467368301906955,3.6845680460818375,443.0352533020801,53.88102676546598
93,65.81742890081223,5.76591073796463,334.45878774857704,46.977076429615785
94,36.235506032552045,4.278749876440136,342.6624344525767,47.748235643225954
95,28.150131942344803,48.92140987024198,481.89366650245154,21.87647345448878
96,99.32259937973316,76.78753732561927,449.68781438284657,56.12745286885109
97,67.9530853235901,34.15998233103043,473.4729827572067,23.94200142823015
98,28.33592997759844,40.3881636762781,473.6053196255673,23.700618714487977
99,72.71890224959492,89.26448755155934,271.5945717914843,45.36351509873554
100,75.26510438202439,91.71289970815128,291.2677217754147,48.76773012450831
101,36.286850668245826,8.497896400078076,386.03940374897206,43.70898154628683
102,93.31646641626133,25.256653897768565,316.5208420316468,49.88536297478357
