store_id,x_km,y_km,monthly_sales_k,distance_to_center_km
1,27.43773663803545,42.13318080696369,497.76142586056744,23.894404621805755
2,16.680127150076036,21.748679868923077,292.59155568557617,43.68467712921423
3,31.003609566451658,20.9020581674277,385.3093149250591,34.74986429319643
4,32.52451773112971,18.48981817401698,348.7736501199011,36.03170880261038
5,9.391718490769309,29.927835380603966,361.6534301901877,45.29817126155383
6,14.582563945101455,34.03177834176714,341.3424237033469,38.8507255997785
7,26.022723225338282,24.088420338761,290.7127931667808,35.303254270243514
8,22.470059261251343,18.278748184299776,350.99703551503,42.00161251468898
9,24.86559073996569,18.404150274470084,312.1853766615182,40.37370739391129
10,18.17564857941136,30.20474230259761,411.85961218407476,37.47854813953832
11,32.03518379890263,30.94603336962754,393.54582853264037,26.187559364907564
12,31.222335483431586,29.34523414644156,343.82816299708753,27.914513020328982
13,25.528245580489727,19.675922341690445,332.85722921355807,38.9668634893291
14,34.01792965574426,26.857290584533757,388.2075906318828,28.124927939062328
15,28.740074738016364,25.933486473125825,376.7861689495269,32.112014815086695
16,18.125660296934093,26.749508773832105,324.7779794907064,39.45324921682058
17,27.95000627265999,31.971430223585518,342.22398320200773,28.482126879128593
18,17.328939193368008,26.788764390197457,306.87282182041355,40.076921947230566
19,32.02760241045818,30.43130850457516,384.886191710559,26.569545761259846
20,24.600592712109975,25.54063255591113,287.0833192282321,35.26174338204331
21,23.521101091637917,27.312955189519872,366.68865995642005,34.868812564123715
22,19.55256364476847,30.050305806708323,323.1736429425876,36.40105326788952
23,34.780330709392246,13.342753441154668,427.79182772679707,39.69120883257962
24,23.76376414344958,22.44263026914159,295.88715315403783,38.04929300793608
25,21.573377422695142,21.237018765657638,361.50637695916544,40.439856090738864
26,22.182931596094164,19.888977214053263,331.25073237822727,40.993450547659194
27,29.25847348442679,22.79886199018653,259.50053548831653,34.20691203872612
28,27.923552514912625,36.95953048987516,390.45705885085425,25.64026869216304
29,28.301860892767905,18.073351074454052,262.3149428263483,38.60207445632759
30,28.446568024063062,32.74622683673185,321.45402060619114,27.60875075607104
31,61.537041827073566,30.323080871782288,527.086117295615,22.809745296650398
32,72.3209197601138,24.212116123924613,429.35843013258597,34.106281147955535
33,76.30202452084005,21.61361350364677,299.5773754605831,38.69862313074221
34,79.68977865087423,24.362254312748806,311.1736557675489,39.22724767635469
35,80.68981263834284,11.501324528335761,372.80861582019844,49.234262590690946
36,81.34677788159941,13.423100220615302,333.6542606950812,48.171465423313435
37,72.2101994220125,14.418403101164781,327.2697545948155,41.944522839540845
38,71.30118565868347,17.022025379188147,372.6357993416586,39.25923229708666
39,81.86380705005723,28.198193813787494,445.46038202364144,38.60856061425304
40,73.46956540094708,17.756167557119515,375.73517133884735,39.88088803818045
41,64.79450941329662,21.974699567684883,340.0261328201668,31.690613327950032
42,65.93370228797215,35.39382638228852,485.9584110557478,21.615345853177086
43,67.64438171198711,22.14988823150859,432.2354712631538,32.968969221311255
44,78.97728595243011,30.90012454773669,445.07342936104965,34.70573934468006
45,76.13940588856453,17.531058559920986,409.76847065550265,41.68333837933812
46,80.52388283254214,23.35649953705896,305.6196239463252,40.51646011306393
47,71.58197882930773,17.39982356071535,339.730147636724,39.09671743332396
48,76.26831752861371,22.2877353927955,369.7016609934995,38.18368912826252
49,80.00472315173869,31.722465099659164,356.720921809646,35.133341620825945
50,72.5252276822381,11.18143661446121,431.72572462193983,44.88058316748745
51,78.6542019004593,28.475389148366858,420.27933695797884,35.83813832869292
52,69.7045924714668,26.901884818658225,483.1401870293942,30.361058766075953
53,72.09556922747943,20.246800354425645,331.6105648432692,37.06031662891916
54,71.94609684801337,13.431537164892363,378.48658430696184,42.6483720789555
55,65.43328283528768,25.577036061710956,474.2411643236898,28.890610699757676
56,78.89577984628465,20.76405832748958,380.7353900301304,41.10603822315381
57,71.24478127837821,26.861409690837633,461.73043794520066,31.41233982149996
58,75.0999529498215,25.174817164187544,399.88464565730527,35.30293671799515
59,78.84597327124727,37.81423113056732,412.38496809790036,31.314264112457547
60,78.57224940823956,23.085154980215805,378.4549368205003,39.252800138151265
61,41.81202005902508,48.730921303690494,439.68399545663215,8.285745364856096
62,51.43420507965053,41.71476997739351,431.65955687193724,8.408446987285782
63,51.759973471774124,36.60253644236514,487.88330795631526,13.51256957057031
64,60.873500601923496,46.10953672741336,411.98711166418525,11.548537561759767
65,56.68088996731663,49.569739593453434,445.8491995392832,6.694730373423088
66,52.854968473196074,64.14343930863906,501.8930072786388,14.428711670142281
67,61.706423129756494,51.04219617178309,406.3954768912751,11.752723741898182
68,40.48989556541719,57.86191608818446,405.64392311097345,12.339036061796934
69,44.88198773800202,46.00563521168678,428.8993002088553,6.492226087874499
70,42.5873924687558,40.5204498686638,452.87602959641794,12.033645378885582
71,46.881521574753855,42.27906590214103,400.94213069780295,8.326928066952844
72,38.98651081954953,44.19819148371398,501.0998536939739,12.448209750303398
73,55.08120757451523,67.02775785948131,466.5957738879023,17.76972729493727
74,48.22221842320981,43.42890656620491,468.79529142167155,6.8073325356147825
75,38.23354964397873,56.70791362989076,457.78786702149426,13.544203898597631
76,41.875367350339666,42.77658257530379,500.68439822450875,10.871403542474702
77,52.508110779601566,57.45258410299395,468.63500499574195,7.863309067749515
78,56.70501254315505,53.0796077288469,368.1353222316234,7.378426456056882
79,65.97384713353429,48.74689681873528,505.06988409943824,16.022922948963384
80,73.31089972805864,49.67389979091653,416.44938772578894,23.313180552596613
81,53.31527546620797,44.76169843656488,457.0842119201622,6.1992624308321815
82,42.08369503974509,53.56857761185665,483.2096724414615,8.683468799713685
