zip_id,x_km,y_km,median_income_k
Z001,12.25655096738716,12.108935468868475,65.2788022807358
Z002,25.8113074772773,26.3623456814848,76.02281071851617
Z003,40.57707278211311,75.37756518289568,78.55738742998902
Z004,96.9183948144422,84.59481717335485,88.99643524276581
Z005,16.23171247855668,15.5122996462709,53.15068348740889
Z006,85.72936735567716,70.40933332727151,84.6591974115818
Z007,16.304527107106548,32.589260031936206,54.25132475301638
Z008,33.796194896591736,18.351358010210326,73.42603580550748
Z009,67.77228173805366,9.856895662949928,82.61849057809836
Z010,61.65341715639089,9.872971125243534,71.60089679825819
Z011,95.49361640684994,46.29616146735781,91.61278482177471
Z012,41.14007808673739,11.611247616880515,79.65004901516548
Z013,93.96418119783945,60.600178138224656,85.42903457477767
Z014,92.67486927535602,82.50828265781801,83.01548374159118
Z015,71.55717419428656,42.25112453706652,98.811154010532
Z016,1.9462110803344146,61.96715112042944,61.59365817510064
Z017,79.73993000554287,83.63204311861858,87.34067451187224
Z018,90.07551884531136,82.40788630127213,90.30457802767863
Z019,52.38628197795624,31.353387690621894,77.19594780456077
Z020,19.716268890848355,56.57341010827211,83.05345187745829
Z021,18.07932306473766,47.506355210811215,67.33032647397691
Z022,84.53951391255188,11.985920428174001,97.670097393216
Z023,8.72410933144666,19.976949753423245,60.9826242655535
Z024,54.62064290634059,8.434139692005893,80.95958045689879
Z025,20.342388329822427,22.224800790838383,59.5405162113678
Z026,30.12803379026794,95.78857649348247,60.48813751253249
Z027,97.71544765304353,90.69293420858948,85.91754422933596
Z028,27.662511355431086,82.33654953758162,83.71016411915396
Z029,68.35101225213222,84.64860566340501,81.76289501851943
Z030,76.738516830775,91.9461425314723,83.28687652326764
Z031,28.82322663571366,18.815888651052525,67.08505337341003
Z032,14.655955097277928,58.05292588396891,75.613833565447
Z033,77.2160590952181,37.65367323210667,97.15620336946122
Z034,45.361938131670044,19.25335527209141,73.63183310198612
Z035,28.787960061680796,13.681758421614177,55.57819370906142
Z036,21.162282004655076,86.84733045539015,70.58119051638208
Z037,98.36215855176161,63.83314484247511,83.97936309279511
Z038,64.63069137077348,70.81979021776691,83.21384637651643
Z039,52.30638924619143,89.10292966289082,80.19154021252713
Z040,11.419550854996519,18.86132530990723,59.43399302838421
Z041,91.24440951957628,99.29837951817248,65.01900894965678
Z042,33.278683613539194,49.12968097378457,95.02784669606338
Z043,79.07410570420038,34.40181453461375,105.95454543900883
Z044,90.53367527791866,93.7404241467356,87.01318355796593
Z045,20.584573719481558,26.06108131348449,58.56538090975276
Z046,97.79481217038042,85.93534823980333,89.54695388015548
Z047,89.41978940663303,16.21016185477071,98.59089958731937
Z048,56.61261830359754,60.04953672444755,87.70039516704401
Z049,72.43141651785085,62.03751483359573,93.41911884567008
Z050,27.73941111732715,33.24980684319338,64.5295131926953
Z051,72.37042640639514,61.10373715313631,81.97144396920771
Z052,43.11337134250588,94.01318529783588,71.40983333740806
Z053,32.54907077567905,37.340429754929296,90.13640835566369
Z054,69.68718015333134,11.92514290356862,73.64386702483688
Z055,38.31278308783803,45.7808531763709,88.36947852530314
Z056,70.4514892740968,10.238752803168016,83.93808611436178
Z057,85.1529841131666,65.82066452167248,87.14510656327826
Z058,27.081935631838792,73.95753054927646,91.98727012496113
Z059,20.649930431369157,3.540574050021028,64.0992646687976
Z060,32.03659000208129,83.08391773149081,70.87622550365919
Z061,42.37493251511286,68.5568117132872,93.17001435975256
Z062,72.84237989194654,44.59402791773631,102.79120395217002
Z063,43.74841751202149,0.5787867712011008,62.663486215373744
Z064,69.34672958787266,17.86816605827036,85.09094319116575
Z065,99.5385686210413,45.52599575992685,90.82246589746211
Z066,23.37137631036731,81.25728050207793,79.9513903330284
Z067,75.84261967294688,4.562509851300511,85.70666042355882
Z068,47.6787376021111,69.70253583765869,79.8254151151426
Z069,41.81667652269564,1.7232005479690171,66.32578560464718
Z070,60.165919710047575,53.18606842764307,98.17566359033675
Z071,11.815936765827217,28.43735825236863,68.14267046238957
Z072,31.53659902502198,77.94409808179924,82.77198809489542
Z073,27.395131518481875,15.454393704710267,61.56307475317841
Z074,61.04304679644429,85.0033082137328,70.6862737521136
Z075,22.499089303164855,75.76624126145,86.33953174342253
Z076,4.739082703567343,97.57928482156107,65.85758408065097
Z077,4.064734280142545,54.6790878268433,51.58357408624256
Z078,77.45405417566957,22.048597775215573,99.59378226385645
Z079,68.38208148172836,74.27974488987313,83.47504160860063
Z080,84.95622461655604,53.58197977325616,98.76130824125117
Z081,67.718576550291,2.1719399082253843,83.08007457936827
Z082,5.225091057365017,18.088253940565124,65.18358744434589
Z083,70.11315469487693,23.96924523192171,99.35856180615643
Z084,54.699411187444724,69.12993505178076,78.67128648037027
Z085,96.17927989821082,89.3175099110746,75.46565564357822
Z086,22.978730054053496,16.693908197260743,58.68522647182091
Z087,7.780972421372756,45.127337720832195,61.73783462120711
Z088,83.2890481734338,63.11441123923461,82.00799917045543
Z089,42.26882683030935,84.00035001941288,72.68127324978084
Z090,46.99682845610374,87.63180301394435,84.81531701332614
Z091,71.69573795497921,46.840677475911505,81.03898259077039
Z092,18.291059126222898,17.259795302768666,55.00448224011376
Z093,45.102537588236004,19.550915874494347,88.98998668638936
Z094,80.232568563382,64.11674563626654,85.34215801692466
Z095,59.40841684476167,50.35996805306643,98.89778137816421
Z096,90.31709654302932,6.129101983969698,78.99074582978363
Z097,86.53806642004554,95.24616084812226,86.06308845557983
Z098,27.349619560055714,66.00636220267047,99.18888281362612
Z099,79.57597450589266,81.20344600256156,84.91609750701629
Z100,63.61440730101759,37.410078242110266,92.33023696262238
