zip_code,x_km,y_km,median_income_k
ZIP001,24.87559093571018,2.770939779749837,61.68963894756101
ZIP002,16.306678318635647,63.71465335296547,63.58479693344899
ZIP003,78.36432556412277,87.6907942711342,84.49638669333132
ZIP004,80.85233888414788,16.563905576389782,84.75516984996369
ZIP005,62.56284278232959,23.385566353262288,87.1774192445097
ZIP006,60.41136332754239,26.11255144717475,87.86935030883362
ZIP007,88.57019031149136,32.26827548432427,85.48602469025296
ZIP008,75.91174678329831,75.452097035906,66.9586498392486
ZIP009,18.110505614124406,8.452374221941394,61.54499488688753
ZIP010,15.016931614283891,99.08107762162643,68.6080404076391
ZIP011,43.567937114395825,14.896651001342331,78.93655484538124
ZIP012,38.52725526500896,87.5353962148444,50.2087607763513
ZIP013,57.57098698077493,3.9268590594816466,72.28030410507972
ZIP014,14.609069445663325,11.253882130148728,65.79030210349849
ZIP015,68.6593018705155,29.084537983917336,119.72498238991277
ZIP016,46.880400506122875,90.2993001836126,82.19500469406881
ZIP017,56.99991476659645,92.03231060767371,64.19539262994074
ZIP018,64.57010148048536,2.0254782965035356,74.03488275492204
ZIP019,72.33406440863502,76.19480690298754,89.23562815068227
ZIP020,68.06707599795607,31.637426110081503,97.1577886320553
ZIP021,18.09171394037925,41.92028303613489,48.644999413315055
ZIP022,11.815848349646341,56.78160990456398,64.08453714997674
ZIP023,24.273439553436816,69.86276702569918,102.17238608299552
ZIP024,0.8183416121430698,3.139636497560838,58.81756723880239
ZIP025,36.00684977113349,0.7759622340355432,62.30931174773189
ZIP026,14.604174530616609,74.71106811226758,81.4488280764092
ZIP027,54.272305703134386,96.78785609421354,70.38457893586484
ZIP028,85.71034377480242,29.009941448079267,102.17026835656465
ZIP029,20.021216458487412,94.21326930059516,66.48631043189809
ZIP030,13.463345870123334,59.11282473862194,56.15416057971465
ZIP031,21.35935606486695,13.539991182696031,47.41794233585267
ZIP032,97.31556538429635,8.816218995638348,72.12485081402006
ZIP033,85.83297869224262,62.94863094338877,86.90684169213097
ZIP034,53.37853219096339,50.463553555705445,106.0613485680532
ZIP035,43.44585909891222,52.230946825479485,92.65800240624766
ZIP036,18.719256650424366,62.84375513591209,85.25307543195903
ZIP037,28.827597995581733,22.54134060483154,58.2418001983697
ZIP038,62.71673310895937,26.188823177529663,78.17135676497531
ZIP039,35.570587151583354,56.247388227799036,92.9150415303113
ZIP040,72.94554143716817,39.14950225764976,110.27082723939745
ZIP041,55.69882332680919,70.80075715980963,90.58272677550126
ZIP042,94.23899531226483,21.354274100323124,83.48553702618999
ZIP043,15.354563302164525,28.545202675969485,47.59912172105531
ZIP044,89.62255928860061,84.76786624992057,81.93537113709554
ZIP045,17.803467095724322,46.157858761444636,79.60527941997981
ZIP046,59.42625178776859,7.439064134197626,85.17999397616877
ZIP047,4.262962777106849,86.00214078203517,64.88858436138634
